"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.521592720E-1,-1.667511463E-2,-3.143507242E-2,1.513195038E-2,3.866780506E-2
4.571592720E-1,-2.324908972E-2,-1.660114527E-2,4.039478302E-2,4.947581927E-2
4.621592720E-1,-1.412904263E-2,-1.023232937E-2,6.179809570E-2,6.421319991E-2
4.671592720E-1,-1.985371113E-2,-3.541582823E-2,1.033849716E-1,1.110716124E-1
4.721592720E-1,-2.619260550E-2,-1.545971632E-2,1.050386429E-1,1.093534266E-1
4.771592720E-1,-2.637380362E-2,-1.585417986E-2,1.087150574E-1,1.129862657E-1
4.821592720E-1,-2.636462450E-2,-1.349115372E-2,9.156799316E-2,9.623825656E-2
4.871592720E-1,-2.566748857E-2,-1.172685623E-2,6.373023987E-2,6.969851218E-2
4.921592720E-1,-3.143733740E-2,-8.003354073E-3,3.619670868E-2,4.860618868E-2
4.971592720E-1,-1.397639513E-2,-7.555246353E-3,3.214263916E-2,3.585485491E-2
5.021592720E-1,-2.727997303E-2,-8.457601070E-3,2.132320404E-2,3.564276890E-2
5.071592720E-1,-1.211190224E-2,-1.531004906E-2,1.283836365E-2,2.336491727E-2
5.121592720E-1,4.630446434E-3,-1.311582327E-2,1.840782166E-2,2.307192563E-2
5.171592720E-1,1.339054108E-2,-6.412982941E-3,2.689647675E-2,3.072219722E-2
5.221592720E-1,1.959180832E-2,-2.587521076E-2,3.624916077E-2,4.865559723E-2
5.271592720E-1,2.335071564E-2,-1.267492771E-2,2.141094208E-2,3.412239959E-2
5.321592720E-1,6.498098373E-3,-1.258271933E-2,2.124881744E-2,2.553551156E-2
5.371592720E-1,1.982903481E-2,-2.174293995E-2,3.861427307E-2,4.854902825E-2
5.421592720E-1,2.359902859E-2,-1.718658209E-2,2.526473999E-2,3.860828721E-2
5.471592720E-1,1.951032877E-2,-1.527357101E-2,3.282546997E-2,4.112719756E-2
5.521592720E-1,1.062804461E-2,-7.282972336E-3,2.526283264E-2,2.835855658E-2
5.571592720E-1,1.080030203E-2,-8.554756641E-3,2.673339844E-2,3.007498923E-2
5.621592720E-1,-2.907693386E-3,-6.919503212E-4,1.372241974E-2,1.404415464E-2
5.671592720E-1,-7.550656796E-3,2.521097660E-3,6.145477295E-3,1.005660194E-2
